name,robot,task,variables,subjects,url,alt_url,license,format,description,reachable
HRC Handover Dataset (TU Munich),KUKA LBR iiwa 14,Object handover (robot-to-human),"End-effector pose, velocity, grip force, human wrist position",20,https://github.com/l0g1x/HRI-Handover-Dataset,https://zenodo.org/search?q=handover+TU+Munich&f=keyword,MIT,CSV / ROS bags,Handover trajectories during robot-to-human transfers with varying weight and shape,ALT ✓
Speed Separation Monitoring Benchmark (Zenodo),Universal Robots UR10e,Collaborative welding assist,"Human-robot separation (m), robot speed limit applied, reaction delay (ms)",8,https://doi.org/10.5281/zenodo.6390631,,CC BY 4.0,CSV,Ground-truth distance vs speed reduction under ISO/TS 15066 SSM mode,YES ✓
CHSF — Collaborative Human Safety Features (Zenodo),Universal Robots UR5,Assembly line part placement,"Robot TCP speed, human-robot distance, safety events, cycle time",15,https://doi.org/10.5281/zenodo.5596539,https://zenodo.org/search?q=collaborative+safety+features&f=keyword,CC BY 4.0,CSV,Speed and distance logs from collaborative assembly under ISO/TS 15066 PFL and SSM modes,ALT ✓
ProxEMG — Proximity + EMG HRC Dataset,Franka Emika Panda,Part handoff + placement,"Proximity (mm), EMG 8-ch, robot joint torques, task-phase labels",12,https://github.com/franzesegiovanni/franka_human_friendly_controllers,,Apache 2.0,CSV / HDF5,Simultaneous EMG and proximity readings; captures hesitation events during close-range HRC,YES ✓
MIT HRC Assembly Dataset,ABB YuMi,Circuit board assembly,"Robot speed, human hand position, completion time, error events",30,https://hdl.handle.net/1721.1/131291,,ODC-By,CSV / MAT,Speed profiles and human reaction time measurements across 30 subjects,YES ✓
HAGs — Human Assembly in Glovebox (arXiv:2407.14649),Industrial collaborative arm,Glovebox collaborative assembly,"RGB frames, depth, pixel-wise hand labels, proximity events",10,https://arxiv.org/abs/2407.14649,,CC BY 4.0,Images / CSV,Industrial HRC in hazardous environments; hand segmentation + safety-event annotations,YES ✓
ROSchain HRI Logs — FANUC CR-35iA,FANUC CR-35iA (35 kg payload cobot),Heavy part transfer,"TCP speed (m/s), safety-zone entry/exit, cycle time, load weight (kg)",N/A,https://github.com/ros-industrial/industrial_core,,BSD-3,ROS bag / CSV export,Speed ramp-up/down profiles of heavy-payload cobot near human detection zones,YES ✓
ICRA 2024 Human-Robot Handoff Dataset,Franka Emika Panda,Object handoff with visual tracking,"RGB-D frames, hand pose, grip force, trajectory data",25,https://zenodo.org/search?q=handoff+ICRA+2024&f=keyword,,CC BY 4.0,Images / CSV,Recent dataset from ICRA 2024 with hand pose estimation and force feedback,YES ✓
Rethink Robotics Baxter HRC Benchmark,Rethink Baxter (dual-arm),Collaborative bin picking and assembly,"Joint states, gripper signals, external forces, task success metrics",16,https://github.com/RethinkRobotics/baxter_examples,,BSD,ROS bags / CSV,Legacy Baxter dataset with dual-arm HRC scenarios; reference for prior work,YES ✓
Publication FP7 Funding Acknowledgment - PLOS OpenAIRE,Unknown (from Zenodo),The dataset contains a sample of metadata describing papers published in PLOS an,Mixed (check record),Unknown,https://zenodo.org/record/1239,,cc-zero,Mixed,The dataset contains a sample of metadata describing papers published in PLOS and their identified grant agreement number of FP7 projects. A second file shows the frequency of FP7 grants. The sample was created in July 2012.,YES ✓
"News of CanalUGR tracked on Google News, Yahoo! News and Bing News",Unknown (from Zenodo),Dataset contains 613 news of CanalUGR (University of Granada Communication Offic,Mixed (check record),Unknown,https://zenodo.org/record/6966,,cc-zero,Mixed,"Dataset contains 613 news of CanalUGR (University of Granada Communication Office) tracked on the main online news aggregators (Google News, Yahoo! News and Bing News). We include: number in CanalUGR, media, country, type.",YES ✓
"Dataset for ""Gender, Age and Peer Reviewed Articles""",Unknown (from Zenodo),"Compacts unanalyzed results used for ""Gender, Age and Peer Reviewed Articles"", c",Mixed (check record),Unknown,https://zenodo.org/record/7027,,cc-by-sa-4.0,Mixed,"Compacts unanalyzed results used for ""Gender, Age and Peer Reviewed Articles"", compiled from the initial  Access data file. Author and article identification numbers have been omitted.",YES ✓
First Release,Unknown (from Zenodo),<p><strong>Estimating Bus Speed using d3.js and GTFS </strong></p>,Mixed (check record),Unknown,https://zenodo.org/record/10797,,other-open,Mixed,<p><strong>Estimating Bus Speed using d3.js and GTFS </strong></p>,YES ✓
Commanded Treadmill Motions for Perturbation Experiments,Unknown (from Zenodo),<p>Sample commanded belt speed and lateral motion time histories generated from ,Mixed (check record),Unknown,https://zenodo.org/record/16064,,cc-zero,Mixed,<p>Sample commanded belt speed and lateral motion time histories generated from Simulink.</p>,YES ✓
H2M survey data on commercialisation training needs of Health Researchers,Unknown (from Zenodo),"<p>Health-2-Market was a 3-year long Coordination and Support Action, funded by ",Mixed (check record),Unknown,https://zenodo.org/record/31270,,cc-by-nc-4.0,Mixed,"<p>Health-2-Market was a 3-year long Coordination and Support Action, funded by the European Union&rsquo;s Seventh Framework Programme for research, technological development and demonstration (Grant Agreement No 305532). H2M aimed at providing training and individual support to Health / Life Scienc",YES ✓
Robot List OA-Statistics,Unknown (from Zenodo),"<p><strong>Standard Robot Exclusion List</strong><br />
used by OA-Statistics. C",Mixed (check record),Unknown,https://zenodo.org/record/8573,,cc-zero,Mixed,"<p><strong>Standard Robot Exclusion List</strong><br />
used by OA-Statistics. Compilation of some popular black-list.</p>

<p><strong>Status of this document </strong></p>

<p>This document represents a consensus of the german project OA-Statistik. It is not an official standard backed by a standar",YES ✓
C-Sibelia bacterial genome comparison tool: dataset and scripts,Unknown (from Zenodo),<p>Input data and scripts used for comparing the&nbsp;Staphylococcus aureus RN42,Mixed (check record),Unknown,https://zenodo.org/record/7577,,gpl-2.0,Mixed,<p>Input data and scripts used for comparing the&nbsp;Staphylococcus aureus RN4220 assembly genome and the NCTC 8325 reference genome using C-Sibelia.</p>,YES ✓
VCF file of Variants in a wide onion cross segregating for bolting,Unknown (from Zenodo),<p>VCF (variant call format) file of&nbsp;variants from bulked segregant RNA Poo,Mixed (check record),Unknown,https://zenodo.org/record/11455,,cc-zero,Mixed,"<p>VCF (variant call format) file of&nbsp;variants from bulked segregant RNA PoolSeq (BSR-seq) of F2 progeny pools of a wide onion cross segregating for bolting (precocious flowering). The reference assembly is&nbsp;GBGJ00000000.1&nbsp;http://www.ncbi.nlm.nih.gov/nuccore/656904698</p>

<p>The pools ",YES ✓
Online Supplementary Dataset of the HIV Genome-to-Genome Study,Unknown (from Zenodo),"Online Supplementary Dataset of the paper titled ""A Genome-to-Genome Analysis of",Mixed (check record),Unknown,https://zenodo.org/record/7139,,cc-zero,Mixed,"Online Supplementary Dataset of the paper titled ""A Genome-to-Genome Analysis of Associations between Human Genetic Variation, HIV-1 Sequence Diversity, and Viral Control"" in eLife, 10.7554/eLife.01123.",YES ✓
High-Throughput Sequencing of Human Immunoglobulin Variable Regions with Subtype Identification,Unknown (from Zenodo),<p>Raw Illumina MiSeq data in zipped FASTQ format. The data set includes demulti,Mixed (check record),Unknown,https://zenodo.org/record/10863,,cc-by-sa-4.0,Mixed,"<p>Raw Illumina MiSeq data in zipped FASTQ format. The data set includes demultiplexed samples from three different time points (_wk*_) of&nbsp;patient ZA159 (159_*), samples from four different preps of a&nbsp;healthy donor (HD1_*), and samples from IgG&nbsp;subtype sorted cells&nbsp;of a healthy d",YES ✓
